DETECÇÃO DE FUNGOS - RESULTADO COMPLETO
============================================================

Total de fungos: 277
Área da folha: 2,325,740 pixels
Área de fungos: 144,991 pixels
Porcentagem infectada: 6.23%

Área média dos fungos: 523.4 px
Área mínima: 15 px
Área máxima: 4726 px

============================================================
LISTA COMPLETA (ordenada por tamanho):
============================================================

Fungo #  1: posição (1628.8, 1248.4) -  4726 px²
Fungo #  2: posição (2658.5, 1771.2) -  4324 px²
Fungo #  3: posição (2046.4, 2256.8) -  4281 px²
Fungo #  4: posição (1460.3, 1420.0) -  3644 px²
Fungo #  5: posição (1605.8, 2267.3) -  3455 px²
Fungo #  6: posição (1181.8, 2297.9) -  2977 px²
Fungo #  7: posição (1620.1, 1389.4) -  2783 px²
Fungo #  8: posição (2512.3, 1988.0) -  2731 px²
Fungo #  9: posição (1281.3, 2152.7) -  2504 px²
Fungo # 10: posição (1378.5, 1573.7) -  2303 px²
Fungo # 11: posição ( 994.2, 2287.0) -  2111 px²
Fungo # 12: posição (1797.3, 1318.1) -  2060 px²
Fungo # 13: posição (1695.6, 2146.6) -  2050 px²
Fungo # 14: posição (2397.2, 2140.7) -  2043 px²
Fungo # 15: posição (1042.5, 2132.1) -  2038 px²
Fungo # 16: posição (2422.3, 1096.2) -  1930 px²
Fungo # 17: posição (1243.2, 1597.6) -  1776 px²
Fungo # 18: posição (1285.4, 1495.1) -  1734 px²
Fungo # 19: posição (1759.5, 2036.4) -  1724 px²
Fungo # 20: posição (1621.2, 2044.7) -  1578 px²
Fungo # 21: posição (1444.6, 2305.8) -  1564 px²
Fungo # 22: posição (2576.5, 1824.5) -  1561 px²
Fungo # 23: posição (1324.0, 2063.1) -  1552 px²
Fungo # 24: posição (1682.5, 2341.2) -  1470 px²
Fungo # 25: posição (2770.4, 1652.0) -  1428 px²
Fungo # 26: posição (1690.7, 1328.8) -  1423 px²
Fungo # 27: posição (2265.2, 1744.8) -  1371 px²
Fungo # 28: posição (2283.8, 1913.1) -  1358 px²
Fungo # 29: posição ( 966.8, 2231.2) -  1348 px²
Fungo # 30: posição (1170.1, 2160.6) -  1322 px²
Fungo # 31: posição (1063.0, 2080.6) -  1319 px²
Fungo # 32: posição (1962.7, 1192.0) -  1262 px²
Fungo # 33: posição (2751.5, 1803.7) -  1249 px²
Fungo # 34: posição (1315.1, 2331.3) -  1215 px²
